7bitconf,7bitConf,7bitConf::7bitConf
7bitdi,7bitDI,7bitDI::7bitDI
abseil,absl,
absent,absent,rvarago::absent
acado,ACADO,ACADO::ACADO
ade,ade,ade
aggeom-agg,agg,
alembic,Alembic,Alembic::Alembic
amgcl,amgcl,amgcl::amgcl
amqp-cpp,amqpcpp,amqpcpp
andreasbuhr-cppcoro,cppcoro,cppcoro::cppcoro
angelscript,Angelscript,Angelscript::angelscript
annoy,Annoy,Annoy::Annoy
antlr4-cppruntime,antlr4-runtime,
any-lite,any-lite,nonstd::any-lite
approvaltests.cpp,ApprovalTests,ApprovalTests::ApprovalTests
apriltag,apriltag,apriltag::apriltag
arcus,Arcus,Arcus
arduinojson,ArduinoJson,ArduinoJson
arg_router,arg_router,
argh,argh,argh
argparse,argparse,argparse::argparse
args-parser,args-parser,args-parser::args-parser
argtable3,Argtable3,argtable3::argtable3
argz,argz,argz::argz
armadillo,Armadillo,Armadillo::Armadillo
arrow,Arrow,
arsenalgear,arsenalgear,arsenalgear::arsenalgear
asio-grpc,asio-grpc,asio-grpc::asio-grpc
asmjit,asmjit,asmjit::asmjit
asmtk,asmtk,asmjit::asmtk
assimp,assimp,assimp::assimp
async_simple,async_simple,async_simple::async_simple_header_only
asyncly,asyncly,asyncly::asyncly
asyncplusplus,Async++,Async++
au,Au,Au::au
avcpp,avcpp,
aws-c-auth,aws-c-auth,AWS::aws-c-auth
aws-c-cal,aws-c-cal,AWS::aws-c-cal
aws-c-common,aws-c-common,AWS::aws-c-common
aws-c-compression,aws-c-compression,AWS::aws-c-compression
aws-c-event-stream,aws-c-event-stream,AWS::aws-c-event-stream
aws-c-http,aws-c-http,AWS::aws-c-http
aws-c-io,aws-c-io,AWS::aws-c-io
aws-c-mqtt,aws-c-mqtt,AWS::aws-c-mqtt
aws-c-s3,aws-c-s3,AWS::aws-c-s3
aws-c-sdkutils,aws-c-sdkutils,AWS::aws-c-sdkutils
aws-cdi-sdk,aws-cdi-sdk,
aws-checksums,aws-checksums,AWS::aws-checksums
aws-crt-cpp,aws-crt-cpp,AWS::aws-crt-cpp
aws-lambda-cpp,aws-lambda-runtime,AWS::aws-lambda-runtime
aws-sdk-cpp,AWSSDK,
azure-sdk-for-cpp,AzureSDK,
backport-cpp,Backport,Backport::Backport
backward-cpp,Backward,Backward::Backward
bacnet-stack,bacnet-stack,bacnet-stack::bacnet-stack
base64,base64,aklomp::base64
battery-embed,,battery::embed
bdwgc,BDWgc,BDWgc::BDWgc
beauty,beauty,beauty::beauty
benchmark,benchmark,benchmark::benchmark_main
bertrand,bertrand,bertrand::bertrand
bgfx,bgfx,bgfx::bgfx
bimg,bimg,bimg::bimg
bit-lite,bit-lite,nonstd::bit-lite
bitflags,bitflags,bitflags::bitflags
bitserializer,bitserializer,
bitsery,Bitsery,Bitsery::bitsery
blaze,blaze,blaze::blaze
blend2d,blend2d,blend2d::blend2d
bmx,bmx,
boolean-lite,boolean-lite,nonstd::boolean-lite
boost,Boost,
boost-ext-ut,ut,
boost-leaf,boost-leaf,boost::leaf
bullet3,Bullet,Bullet::Bullet
bx,bx,bx::bx
byte-lite,byte-lite,nonstd::byte-lite
bzip2,BZip2,BZip2::BZip2
c-ares,c-ares,c-ares::cares
c4core,c4core,c4core::c4core
caf,CAF,
canary,canary,canary::canary
capnproto,CapnProto,
catch2,Catch2,
cctag,CCTag,CCTag::CCTag
cctz,cctz,cctz::cctz
cd3-boost-unit-definitions,BoostUnitDefinitions,
celero,Celero,celero
cereal,cereal,cereal::cereal
ceres-solver,Ceres,Ceres::ceres
certify,certify,certify::core
cfgfile,cfgfile,cfgfile::cfgfile
cfitsio,cfitsio,cfitsio::cfitsio
cgal,,CGAL::CGAL
cgns,CGNS,CGNS::CGNS
charls,charls,charls
cista,cista,cista::cista
civetweb,civetweb,
cjson,cJSON,
clhep,CLHEP,
cli11,CLI11,CLI11::CLI11
clickhouse-cpp,,clickhouse-cpp-lib::clickhouse-cpp-lib
clipp,clipp,clipp::clipp
cminpack,,cminpack
cmocka,cmocka,
cnats,cnats,
cocoyaxi,cocoyaxi,cocoyaxi::co
coin-lemon,LEMON,LEMON::LEMON
concurrencpp,concurrencpp,concurrencpp::concurrencpp
concurrentqueue,concurrentqueue,concurrentqueue::concurrentqueue
coost,coost,coost::co
copypp,copypp,icurve::copypp
corrade,Corrade,Corrade::Corrade
coz,coz-profiler,coz::coz
cpp-httplib,httplib,httplib::httplib
cpp-jwt,cpp-jwt,cpp-jwt::cpp-jwt
cpp-lazy,cpp-lazy,cpp-lazy::cpp-lazy
cpp-peglib,peglib,peglib
cpp-sort,cpp-sort,cpp-sort::cpp-sort
cpp-yyjson,cpp_yyjson,cpp_yyjson::cpp_yyjson
cppdap,cppdap,cppdap::cppdap
cppitertools,cppitertools,cppitertools::cppitertools
